2026-02-14 13:32:15 - [FAILED] admin@returnadisc.se | LOGIN | Wrong email | IP: 127.0.0.1
2026-02-14 13:32:24 - [FAILED] admin@returnadisc.se | LOGIN | Wrong email | IP: 127.0.0.1
2026-02-14 22:12:26 - [FAILED] admin@returnadisc.se | LOGIN | Wrong email | IP: 127.0.0.1
2026-02-14 22:12:34 - [FAILED] admin@returnadisc.se | LOGIN | Wrong email | IP: 127.0.0.1
2026-02-14 22:17:16 - [FAILED] admin@returnadisc.se | LOGIN | Wrong email | IP: 127.0.0.1
2026-02-14 22:17:21 - [FAILED] admin@returnadisc.se | LOGIN | Wrong email | IP: 127.0.0.1
2026-02-14 22:17:49 - [FAILED] admin@returnadisc.se | LOGIN | Wrong email | IP: 127.0.0.1
2026-02-14 22:20:39 - [FAILED] admin@returnadisc.se | LOGIN | Wrong email | IP: 127.0.0.1
2026-02-14 22:27:24 - [FAILED] returnadisc@gmail.com | LOGIN | Wrong email (expected: admin@returnadisc.se) | IP: 127.0.0.1
2026-02-14 22:27:35 - [SUCCESS] admin@returnadisc.se | LOGIN | Successful login (TEMP BYPASS) | IP: 127.0.0.1
2026-02-14 22:54:25 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 22:55:05 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 22:55:05 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 22:55:05 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 22:55:14 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 22:58:26 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 22:58:51 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 22:59:12 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 22:59:20 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 22:59:41 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 22:59:41 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:02:06 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:02:06 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:03:07 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:03:32 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:03:35 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:03:35 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:04:23 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:04:38 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:04:38 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:05:07 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:05:24 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:05:24 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:12:30 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:12:51 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:12:51 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:13:14 - [SUCCESS] admin@returnadisc.se | EDIT_QR | Edit QR code | IP: 127.0.0.1
2026-02-14 23:13:26 - [SUCCESS] admin@returnadisc.se | DELETE_QR | Delete QR code | IP: 127.0.0.1
2026-02-14 23:13:59 - [FAILED] admin@returnadisc.se | LOGIN | Password hash not configured | IP: 127.0.0.1
2026-02-14 23:14:13 - [FAILED] admin@returnadisc.se | LOGIN | Password hash not configured | IP: 127.0.0.1
2026-02-14 23:14:30 - [FAILED] admin@returnadisc.se | LOGIN | Password hash not configured | IP: 127.0.0.1
2026-02-14 23:15:26 - [FAILED] admin@returnadisc.se | LOGIN | Password hash not configured | IP: 127.0.0.1
2026-02-14 23:16:41 - [FAILED] admin@returnadisc.se | LOGIN | Password hash not configured | IP: 127.0.0.1
2026-02-14 23:19:40 - [FAILED] returnadisc@gmail.com | LOGIN | Wrong email | IP: 127.0.0.1
